id,person_name,nine_box_category,adjusted,reviewed,label,feedback_len,num_of_sent,performance_class,potential_class,feedback_clean,data_type
1,John Doe,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,287,5,0,0,john ha not progressed in his position he is continuously late leaf early and take many break throughout the day he call out at least every other week and it always on friday his performance ha significantly declined my suggestion is he is not suitable for this position,train
10045,Douglas Henry,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,430,6,0,0,douglas henry ha been having trouble in all area of the job he rarely arrives at work on time he often phone in sick and try to make excuse to leave early douglas ha not had good feedback from his immediate superior about the quality of his work he lack concentration and is often seen daydreaming in short it seems that douglas henry is not a good employee for this company and should be let go a soon a possible,train
10044,Douglas Henry,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,290,4,0,0,douglas ha a lot to work on and area to grow in at work he lack the drive to accomplish any task with sound quality he come to work with an apathetic attitude and applies that to his daily task due to his lack of initiative we do not think he ha much of a future with our company,train
10005,Freddie Davies,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,418,5,0,0,freddie is a nice guy but his performance and potential level are ver poor i am not seeing much motivation to perform nor am i seeing the potential to want to perform either i think he may be too risky for our team at this time if i saw more potential there i would say let keep him on so we can see what he doe in the long run however i am not seeing enough motivation or positivity from him at this time,train
10004,Freddie Davies,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,449,4,0,0,freddie ha been quite disappointing this quarter quite being an understatement while the whole team is flooded with phone call due to the ongoing pandemic he ha taken 7 unplanned leaf citing personal emergency which turned to be a blatant lie according to his social medium account workwise his output is alarmingly lower than the next worst performer in the team freddie should redeem himself swiftly if he a to continue in this team,train
326,Dylan Baker,"Category 1: 'Risk' (Low performance, Low potential)",TRUE,TRUE,0,181,4,0,0,he is not helpful dylan is not a teamplayer he doe not incorporate feedback he is reliable most of the time but would be better if he listened to feedback and cooperated more,train
285,Isobel Foster,"Category 1: 'Risk' (Low performance, Low potential)",TRUE,TRUE,0,533,7,0,0,isobel foster what a player to have easily one of the worse player that i have ever coached he doe not give enough effort on the defense end that opposing player will exploit it and get easy bucket whenever the team fall down into double digit he give up too easily and just put no effort into his game while his offense can be refined to be a decent scorer his defensive end dictate his effort into the game he might be an option for just scoring when the lead is higher but dont expect him to be greater than that,train
264,Carl Thorn,"Category 1: 'Risk' (Low performance, Low potential)",TRUE,TRUE,0,308,4,0,0,mr thorn is somewhat over his head he is typically unable to perform the essential function of his job that said he ha shown a willingness to learn it would probably be worth it to the organization to provide him with additional support and re evaluate to see if that might improve his performance,train
158,Joel Wells,"Category 1: 'Risk' (Low performance, Low potential)",TRUE,TRUE,0,177,4,0,0,joel well performance is not where we want it to be his work is not always up to standard he work slowly and doe not work well with the team his communication is lacking,train
155,Amy John,"Category 1: 'Risk' (Low performance, Low potential)",TRUE,TRUE,0,309,4,0,0,he ha the attitude of doing only what ha been told but he is expected to do something implied and not specifically told even after repeated instruction what ha been missing implied even specifically not told he lag understanding his capacity to think beyong the specification lag his development,train
153,Amy John,"Category 1: 'Risk' (Low performance, Low potential)",TRUE,TRUE,0,264,6,0,0,amy john is a mediocre worker she doe not try to go above and beyond what is asked of her she often doe the minimum of task asked of her she doe not volunteer to take on task she doe not work well with the team her work is not at the standard we expect,train
87,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,385,5,0,0,even my friend deepen graduated from college he could not find a suitable job he doesnt concentrated on the subject while he wa studying in college he doesnt attend the campus interview held at the college by his laziness so it wa very difficult for him to get a perfect job it is very sad to hear that he is currently struggling to find a suitable job relevant to his study,train
85,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,204,4,0,0,broderick hay is always late he is always making error in his project he doe not collaborate with member on task and doe not listen to advice i do not see him a being a good asset for our firm,train
83,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,421,4,0,0,brodericks work this project wa not usable by the company due to it low quality unfortunately this is not out of the ordinary for broderick his work is usually not of high quality and therefore this project wa more to keep him busy and test his performance and potential than to actually use it i do not think broderick ha proved his worth on this team although he ha certainly been here long enough to do so,train
81,Mackenzie Jennings,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,500,5,0,0,im always nervous when assigning mackenzie a report when shes turned her draft back to me i frequently find a lot of glaring typo and miscalculation that would be easy for her to catch if she did any proofreading i find that i cant trust her to turn work into client without assigning at least two other colleague to review it first this is a waste of resource and worse she doesnt seem to really care about making any improvement thus i dont see her moving far in this organization,train
80,Mackenzie Jennings,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,276,4,0,0,mackenzie ha trouble staying on task and completing her duty she is wellliked by her coworkers but spends too much time socializing mackenzie doe not seem to be serious about advancing in the company she need more instruction on how to adequately complete her duty,train
79,Mackenzie Jennings,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,277,4,0,0,mackenzie is an awful employee he always late doe not produce quality work and doe not work well with others not only that he constantly ignores feedback from supervisor and show no desire to learn or improve himself he is a very worker who will likely not improve,train
77,Jalen Summers,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,405,4,0,0,jalen summer ha fallen very short on all of our company standard this quarter the amount of work she manages to actually get done is substandard and she need constant hand holding having her in the office mean somebody at some point will most likely have to sacrifice their time helping her figure something out that she should be able to do on her own she is a serious risk to the organization,train
76,Jalen Summers,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,472,5,0,0,every time i ask jalen to complete a report i already know that i will need to ask at least one other member of the team to back him up he consistently late on his assignment and he rarely spellchecks or proofreads any of his work unfortunately his poor attitude toward work doesnt help matter when ive spoken with him about his performance he ha simply shrugged and given me oneword response i dont see jalen moving up far in this organization a a result,train
75,Jalen Summers,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,180,4,0,0,jalen summer performance did not meet standard it wa subpar and need a lot of work there is not much potential in that particular performance he doe not get a good review,train
10047,Douglas Henry,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,479,4,0,0,douglas ha shown inconsistent performance throughout the review period at the time of review multiple documented conversation have occurred regarding the quality and timeliness of submitted documentation two additional conversation have occurred regarding appropriate communication and timely follow up when requested to provide information either via phone or email douglas will need to significantly improve the quality and timeliness of his work to maintain employment,train
74,Jalen Summers,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,TRUE,0,434,5,0,0,jalen summer performance this quarter wa substandard on two occasion he wa asked to prepare basic discovery request and missed both deadline he wa given whats more jalen is consistently unenthusiastic when asked to stay past regular hour to complete important casework more often than nearly anyone jalen also take sporadic vacation day to deal with personal issue in my view jalen is not long for this firm,train
10048,Douglas Henry,"Category 1: 'Risk' (Low performance, Low potential)",FALSE,FALSE,0,233,4,0,0,douglas henry has disappointed us this quarter he lack motivation to complete his work lately and seems apathetic his attendance is slipping a well and weve issued multiple warning if this continues we may have to let him go,train
