id,person_name,nine_box_category,feedback,adjusted,reviewed,label,feedback_len,num_of_sent,performance_class,potential_class,data_type
1,John Doe,"Category 1: 'Risk' (Low performance, Low potential)","John has not progressed in his position. He is continuously late, leaves early, and takes many breaks throughout the day. He calls out at least every other week and it's always on Fridays. His performance has significantly declined. My suggestion is he is not suitable for this position.",FALSE,TRUE,0,287,5,0,0,train
10045,Douglas Henry,"Category 1: 'Risk' (Low performance, Low potential)","Douglas Henry has been having trouble in all areas of the job. He rarely arrives at work on time. He often phones in sick and tries to make excuses to leave early. Douglas has not had good feedback from his immediate superior about the quality of his work. He lacks concentration and is often seen daydreaming. In short, it seems that Douglas Henry is not a good employee for this company and should be let go as soon as possible.",FALSE,FALSE,0,430,6,0,0,train
10044,Douglas Henry,"Category 1: 'Risk' (Low performance, Low potential)","Douglas has a lot to work on and areas to grow in at work. He lacks the drive to accomplish any task with sound quality. He comes to work with an apathetic attitude and applies that to his daily tasks. Due to his lack of initiative, we do not think he has much of a future with our company.",FALSE,FALSE,0,290,4,0,0,train
10005,Freddie Davies,"Category 1: 'Risk' (Low performance, Low potential)","Freddie is a nice guy, but his performance and potential levels are ver poor. I am not seeing much motivation to perform, nor am I seeing the potential to want to perform either. I think he may be too risky for our team at this time. If I saw more potential there, I would say let's keep him on so we can see what he does in the long run. However, I am not seeing enough motivation or positivity from him at this time.",FALSE,TRUE,0,418,5,0,0,train
10004,Freddie Davies,"Category 1: 'Risk' (Low performance, Low potential)","Freddie has been quite disappointing this quarter, quite being an understatement. While the whole team is flooded with phone calls due to the ongoing pandemic, he has taken 7 unplanned leaves citing personal emergency, which turned to be a blatant lie according to his social media accounts. Work-wise, his output is alarmingly lower than the next worst performer in the team. Freddie should redeem himself swiftly if he as to continue in this team.",FALSE,FALSE,0,449,4,0,0,train
326,Dylan Baker,"Category 1: 'Risk' (Low performance, Low potential)",He is not helpful.  Dylan is not a teamplayer.  He does not incorporate feedback. He is reliable most of the time but would be better if he listened to feedback and cooperated more.,TRUE,TRUE,0,181,4,0,0,train
285,Isobel Foster,"Category 1: 'Risk' (Low performance, Low potential)","Isobel Foster. What a player to have. Easily one of the worse player that I have ever coached. He does not give enough effort on the defense end that opposing players will exploit it and get easy buckets. Whenever the team falls down into double digits, he gives up too easily and just puts no effort into his game. While his offense can be refined to be a decent scorer, his defensive end dictates his effort into the game. He might be an option for just scoring when the lead is higher but don't expect him to be greater than that.",TRUE,TRUE,0,533,7,0,0,train
264,Carl Thorn,"Category 1: 'Risk' (Low performance, Low potential)","Mr. Thorn is somewhat over his head.  He is typically unable to perform the essential functions of his job.  That said, he has shown a willingness to learn.  It would probably be worth it to the organization to provide him with additional support and re evaluate to see if that might improve his performance.",TRUE,TRUE,0,308,4,0,0,train
158,Joel Wells,"Category 1: 'Risk' (Low performance, Low potential)",Joel Well's performance is not where we want it to be. His work is not always up to standard. He works slowly and does not work well with the team. His communication is lacking.,TRUE,TRUE,0,177,4,0,0,train
155,Amy John,"Category 1: 'Risk' (Low performance, Low potential)","He has the attitude of doing only what has been told.  But he is expected to do something implied and not specifically told. Even after repeated instructions, what has been missing, implied even specifically not told, he lags understanding. His capacity to think beyong the specification lags his development.",TRUE,TRUE,0,309,4,0,0,train
153,Amy John,"Category 1: 'Risk' (Low performance, Low potential)",Amy John is a mediocre worker. She does not try to go above and beyond what is asked of her. She often does the minimum of tasks asked of her. She does not volunteer to take on tasks. She does not work well with the team. Her work is not at the standard we expect.,TRUE,TRUE,0,264,6,0,0,train
87,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)",Even my friend deepen graduated from college he could not find a suitable job. He doesn't concentrated on the subject while he was studying in college. He doesn't attend the campus interview held at the college by his laziness. So It was very difficult for him to get a perfect job. It is very sad to hear that he is currently struggling to find a suitable job relevant to his studies.,FALSE,FALSE,0,385,5,0,0,train
85,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)",Broderick Hays is always late. He is always making errors in his projects. He does not collaborate with members on tasks and does not listen to advice. I do not see him as being a good asset for our firm.,FALSE,FALSE,0,204,4,0,0,train
83,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)","Broderick's work this project was not usable by the company due to its low quality. Unfortunately, this is not out of the ordinary for Broderick. His work is usually not of high quality, and therefore this project was more to keep him busy and test his performance and potential than to actually use it. I do not think Broderick has proved his worth on this team, although he has certainly been here long enough to do so.",FALSE,FALSE,0,421,4,0,0,train
81,Mackenzie Jennings,"Category 1: 'Risk' (Low performance, Low potential)","I'm always nervous when assigning Mackenzie a report. When she's turned her drafts back to me I frequently find a lot of glaring typos and miscalculations that would be easy for her to catch if she did any proofreading. I find that I can't trust her to turn work into clients without assigning at least two other colleagues to review it first. This is a waste of resources and worse, she doesn't seem to really care about making any improvements. Thus I don't see her moving far in this organization.",FALSE,FALSE,0,500,5,0,0,train
80,Mackenzie Jennings,"Category 1: 'Risk' (Low performance, Low potential)",Mackenzie has trouble staying on task and completing her duties. She is well-liked by her coworkers but spends too much time socializing. Mackenzie does not seem to be serious about advancing in the company. She needs more instruction on how to adequately complete her duties.,FALSE,FALSE,0,276,4,0,0,train
79,Mackenzie Jennings,"Category 1: 'Risk' (Low performance, Low potential)","Mackenzie is an awful employee. He's always late, does not produce quality work, and does not work well with others. Not only that, he constantly ignores feedback from supervisors and shows no desire to learn or improve himself. He is a very worker who will likely not improve.",FALSE,FALSE,0,277,4,0,0,train
77,Jalen Summers,"Category 1: 'Risk' (Low performance, Low potential)",Jalen Summers has fallen very short on all of our companies standards this quarter. The amount of work she manages to actually get done is substandard and she needs constant hand holding. Having her in the office means somebody at some point will most likely have to sacrifice their time helping her figure something out that she should be able to do on her own. She is a serious risk to the organization.,FALSE,FALSE,0,405,4,0,0,train
76,Jalen Summers,"Category 1: 'Risk' (Low performance, Low potential)","Every time I ask Jalen to complete a report I already know that I will need to ask at least one other member of the team to back him up. He's consistently late on his assignments and he rarely spellchecks or proofreads any of his work. Unfortunately, his poor attitude toward work doesn't help matters. When I've spoken with him about his performance he has simply shrugged and given me one-word responses. I don't see Jalen moving up far in this organization as a result.",FALSE,FALSE,0,472,5,0,0,train
75,Jalen Summers,"Category 1: 'Risk' (Low performance, Low potential)",Jalen Summers' performance did not meet standards. It was subpar and needs a lot of work. There is not much potential in that particular performance. He does not get a good review.,FALSE,TRUE,0,180,4,0,0,train
10047,Douglas Henry,"Category 1: 'Risk' (Low performance, Low potential)","Douglas has shown inconsistent performance throughout the review period. At the time of review, multiple documented conversations have occurred regarding the quality and timeliness of submitted documentation. Two additional conversations have occurred regarding appropriate communication and timely follow up when requested to provide information either via phone or email. Douglas will need to significantly improve the quality and timeliness of his work to maintain employment.",FALSE,FALSE,0,479,4,0,0,train
74,Jalen Summers,"Category 1: 'Risk' (Low performance, Low potential)","Jalen Summers' performance this quarter was substandard.   On two occasions, he was asked to prepare basic discovery requests and missed both deadlines he was given.  What's more, Jalen is consistently unenthusiastic when asked to stay past regular hours to complete important casework.  More often than nearly anyone, Jalen also takes sporadic vacation days to deal with personal issues.  In my view, Jalen is not long for this firm.",FALSE,TRUE,0,434,5,0,0,train
10048,Douglas Henry,"Category 1: 'Risk' (Low performance, Low potential)","Douglas Henry has disappointed us this quarter. He lacks motivation to complete his work lately and seems apathetic. His attendance is slipping as well and we've issued multiple warnings. If this continues, we may have to let him go.",FALSE,FALSE,0,233,4,0,0,train
10084,Layla Scott,"Category 1: 'Risk' (Low performance, Low potential)","I feel like Layla may have overpromised during her interview. She is often found on extended breaks, or on her phone, with little drive or interest to accomplish the job. She often barely squeaks by with minimal accomplishment. Maybe she should consider something else more appropriate",FALSE,FALSE,0,285,4,0,0,train
20047,Cason Vargas,"Category 1: 'Risk' (Low performance, Low potential)","Carson has not been working out very well in my evaluation. He is not very punctual, and is oft absent. His work quality is poor and so too is his effort. I do not believe he is a viable investment and is not worth the time and resources.",FALSE,TRUE,0,238,4,0,0,train
20045,Cason Vargas,"Category 1: 'Risk' (Low performance, Low potential)","Cason's performance has been nothing short of disappointing in the past quarter. He is perpetually distracted and has not met the deadline even once in the last month. When he did meet the deadline, his work failed to pass the quality control checkpoint. At this rate, it would be a necessity to find a suitable replacement for Cason, unless he does something miraculous to up his performance on par with the best performers.",FALSE,TRUE,0,425,4,0,0,train
20043,Cason Vargas,"Category 1: 'Risk' (Low performance, Low potential)","Cason Vargas is a software developer for our customer service team. He started here last fall and has been responsible for improving user interface errors and bugs on various customer service applications operated on different types of technologies: website, mobile website, mobile app, and in-store machines. He has attended to multiple customers but I have received feedback that many bugs remain on the company's technologies and some customers are not satisfied with their user experience. I have also noticed Cason missing a few staff meetings. I'm concerned about his work record this quarter.",FALSE,TRUE,0,599,5,0,0,train
20028,Rowan Cain,"Category 1: 'Risk' (Low performance, Low potential)","Mr. Cain started with the company last month and every day has been a ray of sunshine, until it's time to get to work.. Mr. Cain gives 110 percent to every task he likes and is always there to help people, when he feels  like it. If a customers is not to his liking or if it is a Thursday, Mr. Cain is rude in manner and has to be removed from the floor. We wish we could see more consistent performance from Mr. Cain, as right now we are frustrated with his inconsistent performance.",TRUE,TRUE,0,484,3,0,0,train
20005,Jude May,"Category 1: 'Risk' (Low performance, Low potential)",Jude has potential but needs coaching in several areas. Their quality of work is very poor with many mistakes. I have talked to Jude on many occasions about their work quality and they are defensive and deny the mistakes even when I have shown several examples. Jude also needs to act in a more professional manner. They do not take any sort of feedback well. Jude should not be given a raise this year and needs to complete a rigid coaching program to continue employment.,FALSE,TRUE,0,473,6,0,0,train
20003,Jude May,"Category 1: 'Risk' (Low performance, Low potential)","Jude is an embarrassment. He never even tries or cares at his job. If he keeps this up, he wont have a future here in the company. Such a waste of potential",FALSE,TRUE,0,156,4,0,0,train
20002,Jude May,"Category 1: 'Risk' (Low performance, Low potential)",Jude may has not been working to a satisfactory level and must improve on all aspects on their work. The worker in question needs to show a better attitude and more positive outlook to the work and make sure its completed in a timely manner with better detail. jude can and must show a willingness to progress further. We can look at this again in the future and we can see how we can work with the individual to make the improvements needed.,FALSE,TRUE,0,442,4,0,0,train
20001,Jude May,"Category 1: 'Risk' (Low performance, Low potential)","Jude has been disappointing in the key aspects of her work. Despite being allocated to a number of different tasks, she has failed to demonstrate a satisfactory level of output. Her engagement with the job has been poor and she shows little interest in developing, even though these opportunities have been provided. There does not seem to be much benefit to retaining Jude in the short or long term.",FALSE,TRUE,0,400,4,0,0,train
10210,Jaiden Horne,"Category 1: 'Risk' (Low performance, Low potential)","Jaiden has been repeatedly failing to deliver what has been asked of him and show little to no interest in the assignments. The team had to work extra hours because of his lacklustre performance this quarter. A simple 1-day task takes 3-4 days when assigned to Jaiden. I believe if this sort of abysmal work continues, he may have to start looking elsewhere.",FALSE,FALSE,0,358,4,0,0,train
10208,Jaiden Horne,"Category 1: 'Risk' (Low performance, Low potential)","Jaiden showed this quarter that he really cannot perform well. I'm sorry to say that, but hiring that guy isn't good for our company. What I've understood is that even if he puts more effort into his work, he won't do good. So i don't know what to tell you, except that i maybe recommend firing him.",FALSE,FALSE,0,299,4,0,0,train
10207,Jaiden Horne,"Category 1: 'Risk' (Low performance, Low potential)",Jayden Horne is not a team player. She has shown that her competence is below the level that is required. At present the tasks she has completed are below average. With time Jaiden will improve.,FALSE,FALSE,0,194,4,0,0,train
10169,Katherine Terry,"Category 1: 'Risk' (Low performance, Low potential)","Katherine consistently misses her deadlines. She shows no signs of caring about improving her subpar work. The quality of her performance is always lower than the rest of her team. She is not proficient at organizing spreadsheets, which was listed on her resume. She is late to work more times than not.",FALSE,FALSE,0,303,5,0,0,train
